OHSU1	0	91283653	1	23.38116	TFIDF
OHSU1	0	90350732	2	23.180092	TFIDF
OHSU1	0	90379605	3	21.838394	TFIDF
OHSU1	0	91226903	4	20.94281	TFIDF
OHSU1	0	91118843	5	19.513708	TFIDF
OHSU1	0	90279838	6	18.796665	TFIDF
OHSU1	0	91152329	7	18.633097	TFIDF
OHSU1	0	90191472	8	18.355812	TFIDF
OHSU1	0	90191478	9	17.828426	TFIDF
OHSU1	0	90381680	10	17.599857	TFIDF
OHSU1	0	90225025	11	17.38777	TFIDF
OHSU1	0	88120618	12	17.352493	TFIDF
OHSU1	0	89078872	13	17.26722	TFIDF
OHSU1	0	90191476	14	16.94281	TFIDF
OHSU1	0	90191479	15	16.674862	TFIDF
OHSU1	0	89316118	16	16.559343	TFIDF
OHSU1	0	88089217	17	16.528597	TFIDF
OHSU1	0	90214326	18	16.385727	TFIDF
OHSU1	0	91031245	19	16.370216	TFIDF
OHSU1	0	91114419	20	16.302605	TFIDF
OHSU1	0	91101483	21	16.302135	TFIDF
OHSU1	0	91144167	22	16.281828	TFIDF
OHSU1	0	88181296	23	16.241505	TFIDF
OHSU1	0	90248987	24	16.225994	TFIDF
OHSU1	0	90213020	25	16.186913	TFIDF
OHSU1	0	90010830	26	16.156233	TFIDF
OHSU1	0	91229114	27	16.14966	TFIDF
OHSU1	0	89244872	28	16.089075	TFIDF
OHSU1	0	88103361	29	15.9735565	TFIDF
OHSU1	0	91187995	30	15.93781	TFIDF
OHSU1	0	91146166	31	15.892922	TFIDF
OHSU1	0	91020779	32	15.863083	TFIDF
OHSU1	0	90366906	33	15.796546	TFIDF
OHSU1	0	91112510	34	15.796546	TFIDF
OHSU1	0	90125990	35	15.769817	TFIDF
OHSU1	0	91101482	36	15.706742	TFIDF
OHSU1	0	89015550	37	15.670331	TFIDF
OHSU1	0	91028974	38	15.620442	TFIDF
OHSU1	0	90016488	39	15.588561	TFIDF
OHSU1	0	89225992	40	15.586519	TFIDF
OHSU1	0	88296357	41	15.53517	TFIDF
OHSU1	0	90059789	42	15.388905	TFIDF
OHSU1	0	91261656	43	15.260648	TFIDF
OHSU1	0	91193766	44	15.149659	TFIDF
OHSU1	0	90296613	45	15.084544	TFIDF
OHSU1	0	90272936	46	15.034657	TFIDF
OHSU1	0	90183446	47	14.996202	TFIDF
OHSU1	0	90191480	48	14.94281	TFIDF
OHSU1	0	91344863	49	14.94281	TFIDF
OHSU1	0	91051706	50	14.937254	TFIDF
OHSU2	0	91356837	1	21.575302	TFIDF
OHSU2	0	88269814	2	19.246656	TFIDF
OHSU2	0	88170074	3	18.532898	TFIDF
OHSU2	0	90023517	4	18.277296	TFIDF
OHSU2	0	91022533	5	18.14287	TFIDF
OHSU2	0	89192618	6	18.10175	TFIDF
OHSU2	0	90023512	7	18.059235	TFIDF
OHSU2	0	91109812	8	17.800491	TFIDF
OHSU2	0	91300095	9	17.690874	TFIDF
OHSU2	0	91060007	10	17.613756	TFIDF
OHSU2	0	90024695	11	17.15623	TFIDF
OHSU2	0	91019601	12	17.013878	TFIDF
OHSU2	0	89308770	13	16.998058	TFIDF
OHSU2	0	90038535	14	16.817532	TFIDF
OHSU2	0	88104932	15	16.521177	TFIDF
OHSU2	0	91126065	16	16.491901	TFIDF
OHSU2	0	89317174	17	16.35843	TFIDF
OHSU2	0	91313530	18	16.319258	TFIDF
OHSU2	0	91372188	19	16.311743	TFIDF
OHSU2	0	90365061	20	16.204187	TFIDF
OHSU2	0	88292365	21	16.190702	TFIDF
OHSU2	0	91208408	22	16.181852	TFIDF
OHSU2	0	89317157	23	16.181541	TFIDF
OHSU2	0	89350336	24	16.119535	TFIDF
OHSU2	0	88016811	25	16.090126	TFIDF
OHSU2	0	90307287	26	16.075869	TFIDF
OHSU2	0	90335133	27	16.071068	TFIDF
OHSU2	0	91128118	28	16.042585	TFIDF
OHSU2	0	90203723	29	16.02536	TFIDF
OHSU2	0	89071147	30	15.978086	TFIDF
OHSU2	0	89278300	31	15.857282	TFIDF
OHSU2	0	90109045	32	15.836899	TFIDF
OHSU2	0	89235701	33	15.818057	TFIDF
OHSU2	0	88275765	34	15.766115	TFIDF
OHSU2	0	88285970	35	15.755604	TFIDF
